window_start,asset,direction,min_ask,min_ask_time,max_ask,max_ask_time,first_below_04,last_below_04,first_back_above_045,retry_count
"2026/01/15 01:00","BTC","Down","0.25","2026/01/15 01:04:58","0.58","2026/01/15 01:02:28","2026/01/15 01:03:11","2026/01/15 01:09:59","","0"
"2026/01/15 01:00","ETH","Up","0.35","2026/01/15 01:01:16","0.7","2026/01/15 01:09:57","2026/01/15 01:01:12","2026/01/15 01:02:32","2026/01/15 01:02:32","0"
"2026/01/15 01:00","ETH","Down","0.4","2026/01/15 01:04:26","0.66","2026/01/15 01:01:16","2026/01/15 01:04:26","2026/01/15 01:09:59","2026/01/15 01:05:11","0"
"2026/01/15 01:00","XRP","Up","0.47","2026/01/15 01:00:51","0.72","2026/01/15 01:06:40","","","","0"
"2026/01/15 01:00","XRP","Down","0.34","2026/01/15 01:04:59","0.54","2026/01/15 01:00:50","2026/01/15 01:03:12","2026/01/15 01:09:59","2026/01/15 01:05:12","0"
"2026/01/15 01:15","BTC","Up","0.31","2026/01/15 01:19:02","0.63","2026/01/15 01:18:38","2026/01/15 01:18:43","2026/01/15 01:24:59","2026/01/15 01:19:45","0"
"2026/01/15 01:15","BTC","Down","0.38","2026/01/15 01:18:38","0.7","2026/01/15 01:19:01","2026/01/15 01:18:33","2026/01/15 01:18:43","2026/01/15 01:18:43","0"
"2026/01/15 01:15","SOL","Up","0.36","2026/01/15 01:17:42","0.59","2026/01/15 01:20:45","2026/01/15 01:17:09","2026/01/15 01:24:59","2026/01/15 01:18:23","0"
"2026/01/15 01:15","SOL","Down","0.47","2026/01/15 01:19:57","0.73","2026/01/15 01:23:06","","","","0"
"2026/01/15 01:15","ETH","Up","0.35","2026/01/15 01:19:04","0.53","2026/01/15 01:21:01","2026/01/15 01:17:35","2026/01/15 01:24:59","2026/01/15 01:18:24","0"
"2026/01/15 01:15","ETH","Down","0.5","2026/01/15 01:15:36","0.8","2026/01/15 01:24:56","","","","0"
"2026/01/15 01:15","XRP","Up","0.22","2026/01/15 01:19:06","0.51","2026/01/15 01:13:39","2026/01/15 01:15:58","2026/01/15 01:24:59","2026/01/15 01:18:29","0"
"2026/01/15 01:15","XRP","Down","0.5","2026/01/15 01:13:39","0.93","2026/01/15 01:24:50","","","","0"
"2026/01/15 01:30","BTC","Up","0.07","2026/01/15 01:34:44","0.49","2026/01/15 01:29:30","2026/01/15 01:30:19","2026/01/15 01:39:59","","0"
"2026/01/15 01:30","BTC","Down","0.52","2026/01/15 01:29:42","0.999","2026/01/15 01:39:29","","","","0"
"2026/01/15 01:30","ETH","Up","0.05","2026/01/15 01:34:45","0.48","2026/01/15 01:23:10","2026/01/15 01:30:15","2026/01/15 01:39:59","","0"
"2026/01/15 01:30","ETH","Down","0.53","2026/01/15 01:23:10","0.99","2026/01/15 01:37:11","","","","0"
"2026/01/15 01:30","SOL","Up","0.17","2026/01/15 01:34:45","0.51","2026/01/15 01:24:53","2026/01/15 01:30:16","2026/01/15 01:39:59","","0"
"2026/01/15 01:30","SOL","Down","0.5","2026/01/15 01:24:53","0.99","2026/01/15 01:38:55","","","","0"
"2026/01/15 01:30","XRP","Up","0.09","2026/01/15 01:34:45","0.51","2026/01/15 01:25:48","2026/01/15 01:30:13","2026/01/15 01:39:59","","0"
"2026/01/15 01:30","XRP","Down","0.5","2026/01/15 01:25:48","0.98","2026/01/15 01:39:17","","","","0"
"2026/01/15 01:45","BTC","Up","0.47","2026/01/15 01:45:18","0.86","2026/01/15 01:49:50","2026/01/15 01:51:35","2026/01/15 01:54:59","","0"
"2026/01/15 01:45","BTC","Down","0.15","2026/01/15 01:49:51","0.94","2026/01/15 01:54:56","2026/01/15 01:46:48","2026/01/15 01:51:09","2026/01/15 01:51:27","0"
"2026/01/15 01:45","ETH","Up","0.49","2026/01/15 01:45:20","0.85","2026/01/15 01:50:08","2026/01/15 01:51:27","2026/01/15 01:54:59","","0"
"2026/01/15 01:45","ETH","Down","0.18","2026/01/15 01:49:51","0.95","2026/01/15 01:54:52","2026/01/15 01:47:04","2026/01/15 01:51:20","2026/01/15 01:51:27","0"
"2026/01/15 01:45","SOL","Up","0.44","2026/01/15 01:45:25","0.73","2026/01/15 01:49:07","2026/01/15 01:51:16","2026/01/15 01:54:59","","0"
"2026/01/15 01:45","SOL","Down","0.28","2026/01/15 01:49:07","0.96","2026/01/15 01:54:56","2026/01/15 01:47:28","2026/01/15 01:50:40","2026/01/15 01:50:51","0"
"2026/01/15 01:45","XRP","Up","0.46","2026/01/15 01:45:25","0.84","2026/01/15 01:48:45","2026/01/15 01:51:38","2026/01/15 01:54:59","","0"
"2026/01/15 01:45","XRP","Down","0.17","2026/01/15 01:48:51","0.97","2026/01/15 01:54:24","2026/01/15 01:47:08","2026/01/15 01:51:07","2026/01/15 01:51:17","0"
"2026/01/15 02:00","SOL","Up","0.43","2026/01/15 02:01:34","0.97","2026/01/15 02:08:06","","","","0"
"2026/01/15 02:00","SOL","Down","0.26","2026/01/15 02:03:18","0.58","2026/01/15 02:01:31","2026/01/15 02:02:47","2026/01/15 02:09:59","","0"
"2026/01/15 02:00","BTC","Up","0.38","2026/01/15 02:01:35","0.79","2026/01/15 02:07:26","2026/01/15 02:01:25","2026/01/15 02:02:15","2026/01/15 02:01:45","0"
"2026/01/15 02:00","BTC","Down","0.33","2026/01/15 02:03:14","0.65","2026/01/15 02:04:16","2026/01/15 02:03:01","2026/01/15 02:09:59","2026/01/15 02:03:53","0"
"2026/01/15 02:00","ETH","Up","0.38","2026/01/15 02:02:12","0.89","2026/01/15 02:09:34","2026/01/15 02:01:41","2026/01/15 02:02:18","2026/01/15 02:01:43","0"
"2026/01/15 02:00","ETH","Down","0.38","2026/01/15 02:03:16","0.63","2026/01/15 02:02:12","2026/01/15 02:03:11","2026/01/15 02:09:59","2026/01/15 02:03:43","0"
"2026/01/15 02:00","XRP","Up","0.35","2026/01/15 02:02:15","0.89","2026/01/15 02:07:08","2026/01/15 02:00:30","2026/01/15 02:02:23","2026/01/15 02:01:44","0"
"2026/01/15 02:00","XRP","Down","0.34","2026/01/15 02:04:50","0.66","2026/01/15 02:02:15","2026/01/15 02:03:08","2026/01/15 02:09:59","2026/01/15 02:04:04","0"
"2026/01/15 02:15","BTC","Up","0.39","2026/01/15 02:18:13","0.94","2026/01/15 02:24:49","2026/01/15 02:16:16","2026/01/15 02:18:17","2026/01/15 02:16:28","0"
"2026/01/15 02:15","BTC","Down","0.32","2026/01/15 02:19:59","0.62","2026/01/15 02:18:13","2026/01/15 02:18:17","2026/01/15 02:24:59","","0"
"2026/01/15 02:15","XRP","Up","0.22","2026/01/15 02:17:32","0.85","2026/01/15 02:24:40","2026/01/15 02:15:46","2026/01/15 02:21:12","2026/01/15 02:21:16","0"
"2026/01/15 02:15","XRP","Down","0.48","2026/01/15 02:15:23","0.82","2026/01/15 02:18:08","2026/01/15 02:21:40","2026/01/15 02:24:59","2026/01/15 02:23:20","0"
"2026/01/15 02:15","ETH","Up","0.21","2026/01/15 02:18:15","0.79","2026/01/15 02:24:48","2026/01/15 02:15:52","2026/01/15 02:24:37","2026/01/15 02:18:20","0"
"2026/01/15 02:15","ETH","Down","0.43","2026/01/15 02:15:28","0.8","2026/01/15 02:18:14","2026/01/15 02:24:37","2026/01/15 02:24:59","","0"
"2026/01/15 02:15","SOL","Up","0.24","2026/01/15 02:18:14","0.89","2026/01/15 02:24:47","2026/01/15 02:15:49","2026/01/15 02:18:17","2026/01/15 02:18:17","0"
"2026/01/15 02:15","SOL","Down","0.41","2026/01/15 02:19:30","0.82","2026/01/15 02:18:14","2026/01/15 02:20:04","2026/01/15 02:24:59","2026/01/15 02:20:29","0"
"2026/01/15 02:30","ETH","Up","0.04","2026/01/15 02:34:29","0.66","2026/01/15 02:30:40","2026/01/15 02:31:40","2026/01/15 02:39:59","","0"
"2026/01/15 02:30","ETH","Down","0.36","2026/01/15 02:30:39","0.999","2026/01/15 02:39:55","2026/01/15 02:30:25","2026/01/15 02:30:51","2026/01/15 02:30:29","0"
"2026/01/15 02:30","BTC","Up","0.04","2026/01/15 02:34:41","0.64","2026/01/15 02:30:43","2026/01/15 02:31:49","2026/01/15 02:39:59","","0"
"2026/01/15 02:30","BTC","Down","0.37","2026/01/15 02:30:43","0.999","2026/01/15 02:38:09","2026/01/15 02:30:39","2026/01/15 02:30:51","2026/01/15 02:30:57","0"
"2026/01/15 02:30","SOL","Up","0.04","2026/01/15 02:34:35","0.66","2026/01/15 02:30:36","2026/01/15 02:32:05","2026/01/15 02:39:59","","0"
"2026/01/15 02:30","SOL","Down","0.35","2026/01/15 02:30:39","0.99","2026/01/15 02:36:36","2026/01/15 02:30:36","2026/01/15 02:30:55","2026/01/15 02:31:05","0"
"2026/01/15 02:30","XRP","Up","0.04","2026/01/15 02:34:12","0.61","2026/01/15 02:30:40","2026/01/15 02:31:13","2026/01/15 02:39:59","","0"
"2026/01/15 02:30","XRP","Down","0.42","2026/01/15 02:30:40","0.99","2026/01/15 02:35:52","","","","0"
"2026/01/15 02:45","ETH","Up","0.39","2026/01/15 02:45:37","0.99","2026/01/15 02:54:53","2026/01/15 02:45:37","2026/01/15 02:46:17","2026/01/15 02:46:19","0"
"2026/01/15 02:45","ETH","Down","0.29","2026/01/15 02:49:58","0.62","2026/01/15 02:45:37","2026/01/15 02:47:05","2026/01/15 02:54:59","","0"
"2026/01/15 02:45","BTC","Up","0.38","2026/01/15 02:45:56","0.99","2026/01/15 02:53:04","2026/01/15 02:45:53","2026/01/15 02:46:00","2026/01/15 02:46:20","0"
"2026/01/15 02:45","BTC","Down","0.12","2026/01/15 02:49:59","0.63","2026/01/15 02:45:56","2026/01/15 02:46:59","2026/01/15 02:54:59","","0"
"2026/01/15 02:45","XRP","Up","0.4","2026/01/15 02:45:50","0.98","2026/01/15 02:54:16","2026/01/15 02:45:50","2026/01/15 02:46:19","2026/01/15 02:46:27","0"
"2026/01/15 02:45","XRP","Down","0.28","2026/01/15 02:48:09","0.61","2026/01/15 02:45:50","2026/01/15 02:47:00","2026/01/15 02:54:59","","0"
"2026/01/15 02:45","SOL","Up","0.3","2026/01/15 02:45:40","0.97","2026/01/15 02:53:47","2026/01/15 02:45:12","2026/01/15 02:46:53","2026/01/15 02:46:38","0"
"2026/01/15 02:45","SOL","Down","0.32","2026/01/15 02:48:15","0.72","2026/01/15 02:45:49","2026/01/15 02:48:10","2026/01/15 02:54:59","2026/01/15 02:49:28","0"
"2026/01/15 03:00","XRP","Up","0.28","2026/01/15 03:03:07","0.53","2026/01/15 02:48:09","2026/01/15 03:00:53","2026/01/15 03:08:51","2026/01/15 03:01:38","0"
"2026/01/15 03:00","XRP","Down","0.5","2026/01/15 02:48:09","0.73","2026/01/15 03:03:07","","","","0"
"2026/01/15 03:00","BTC","Up","0.29","2026/01/15 03:04:37","0.58","2026/01/15 03:09:13","2026/01/15 03:00:35","2026/01/15 03:08:48","2026/01/15 03:05:05","0"
"2026/01/15 03:00","BTC","Down","0.48","2026/01/15 02:48:47","0.72","2026/01/15 03:04:35","","","","0"
"2026/01/15 03:00","SOL","Up","0.35","2026/01/15 03:02:28","0.71","2026/01/15 03:09:56","2026/01/15 03:00:44","2026/01/15 03:06:25","2026/01/15 03:01:38","0"
"2026/01/15 03:00","SOL","Down","0.51","2026/01/15 02:51:31","0.68","2026/01/15 03:02:54","2026/01/15 03:08:52","2026/01/15 03:09:58","","0"
"2026/01/15 03:00","ETH","Up","0.23","2026/01/15 03:02:54","0.73","2026/01/15 03:09:28","2026/01/15 03:00:34","2026/01/15 03:05:05","2026/01/15 03:05:05","0"
"2026/01/15 03:00","ETH","Down","0.51","2026/01/15 02:51:48","0.78","2026/01/15 03:02:54","2026/01/15 03:08:45","2026/01/15 03:09:58","","0"
"2026/01/15 03:15","BTC","Up","0.46","2026/01/15 03:15:44","0.98","2026/01/15 03:24:33","","","","0"
"2026/01/15 03:15","BTC","Down","0.29","2026/01/15 03:17:17","0.55","2026/01/15 03:15:44","2026/01/15 03:16:54","2026/01/15 03:24:59","2026/01/15 03:18:11","0"
"2026/01/15 03:15","XRP","Up","0.48","2026/01/15 03:15:26","0.92","2026/01/15 03:21:12","","","","0"
"2026/01/15 03:15","XRP","Down","0.33","2026/01/15 03:17:23","0.53","2026/01/15 03:15:22","2026/01/15 03:16:02","2026/01/15 03:24:59","2026/01/15 03:16:37","0"
"2026/01/15 03:15","ETH","Up","0.42","2026/01/15 03:18:48","0.92","2026/01/15 03:24:29","","","","0"
"2026/01/15 03:15","ETH","Down","0.36","2026/01/15 03:17:03","0.59","2026/01/15 03:18:47","2026/01/15 03:16:56","2026/01/15 03:24:59","2026/01/15 03:17:41","0"
"2026/01/15 03:15","SOL","Up","0.4","2026/01/15 03:18:53","0.85","2026/01/15 03:21:09","2026/01/15 03:18:53","2026/01/15 03:18:53","2026/01/15 03:19:15","0"
"2026/01/15 03:15","SOL","Down","0.41","2026/01/15 03:17:05","0.63","2026/01/15 03:18:46","2026/01/15 03:20:15","2026/01/15 03:24:59","2026/01/15 03:22:00","0"
"2026/01/15 03:30","BTC","Up","0.12","2026/01/15 03:34:58","0.57","2026/01/15 03:30:10","2026/01/15 03:30:40","2026/01/15 03:39:59","","0"
"2026/01/15 03:30","BTC","Down","0.47","2026/01/15 03:30:10","0.99","2026/01/15 03:37:39","","","","0"
"2026/01/15 03:30","ETH","Up","0.08","2026/01/15 03:34:25","0.64","2026/01/15 03:30:10","2026/01/15 03:30:33","2026/01/15 03:39:59","","0"
"2026/01/15 03:30","ETH","Down","0.45","2026/01/15 03:30:11","0.99","2026/01/15 03:36:44","","","","0"
"2026/01/15 03:30","XRP","Up","0.12","2026/01/15 03:34:55","0.64","2026/01/15 03:30:10","2026/01/15 03:30:45","2026/01/15 03:39:59","","0"
"2026/01/15 03:30","XRP","Down","0.45","2026/01/15 03:30:12","0.98","2026/01/15 03:36:44","","","","0"
"2026/01/15 03:30","SOL","Up","0.11","2026/01/15 03:34:54","0.54","2026/01/15 03:30:07","2026/01/15 03:30:41","2026/01/15 03:39:59","","0"
"2026/01/15 03:30","SOL","Down","0.47","2026/01/15 03:30:14","0.97","2026/01/15 03:37:21","","","","0"
"2026/01/15 03:45","BTC","Up","0.43","2026/01/15 03:45:19","0.84","2026/01/15 03:53:26","2026/01/15 03:53:38","2026/01/15 03:54:59","","0"
"2026/01/15 03:45","BTC","Down","0.37","2026/01/15 03:47:31","0.78","2026/01/15 03:53:38","2026/01/15 03:47:24","2026/01/15 03:53:38","2026/01/15 03:47:51","0"
"2026/01/15 03:45","ETH","Up","0.46","2026/01/15 03:45:05","0.87","2026/01/15 03:53:27","2026/01/15 03:53:38","2026/01/15 03:54:59","","0"
"2026/01/15 03:45","ETH","Down","0.4","2026/01/15 03:47:40","0.72","2026/01/15 03:54:56","2026/01/15 03:47:40","2026/01/15 03:53:38","2026/01/15 03:47:52","0"
"2026/01/15 03:45","SOL","Up","0.39","2026/01/15 03:49:48","0.68","2026/01/15 03:53:27","2026/01/15 03:47:04","2026/01/15 03:54:59","2026/01/15 03:47:06","0"
"2026/01/15 03:45","SOL","Down","0.44","2026/01/15 03:40:22","0.89","2026/01/15 03:53:42","","","","0"
"2026/01/15 03:45","XRP","Up","0.41","2026/01/15 03:49:25","0.64","2026/01/15 03:51:41","2026/01/15 03:52:31","2026/01/15 03:54:59","2026/01/15 03:53:10","0"
"2026/01/15 03:45","XRP","Down","0.48","2026/01/15 03:41:05","0.95","2026/01/15 03:54:40","2026/01/15 03:51:33","2026/01/15 03:51:41","2026/01/15 03:51:57","0"
"2026/01/15 04:00","BTC","Up","0.39","2026/01/15 04:01:58","0.998","2026/01/15 04:09:46","2026/01/15 04:01:58","2026/01/15 04:02:24","2026/01/15 04:02:25","0"
"2026/01/15 04:00","BTC","Down","0.34","2026/01/15 04:04:57","0.62","2026/01/15 04:01:58","2026/01/15 04:00:20","2026/01/15 04:09:59","2026/01/15 04:01:00","0"
"2026/01/15 04:00","ETH","Up","0.33","2026/01/15 04:01:27","0.96","2026/01/15 04:09:33","2026/01/15 04:01:13","2026/01/15 04:05:29","2026/01/15 04:02:37","0"
"2026/01/15 04:00","ETH","Down","0.47","2026/01/15 04:00:28","0.69","2026/01/15 04:01:28","2026/01/15 04:06:07","2026/01/15 04:09:59","","0"
"2026/01/15 04:00","SOL","Up","0.33","2026/01/15 04:01:34","0.97","2026/01/15 04:09:26","2026/01/15 04:01:14","2026/01/15 04:05:27","2026/01/15 04:03:05","0"
"2026/01/15 04:00","SOL","Down","0.45","2026/01/15 04:00:18","0.68","2026/01/15 04:01:26","2026/01/15 04:06:12","2026/01/15 04:09:59","","0"
"2026/01/15 04:00","XRP","Up","0.34","2026/01/15 04:01:33","0.99","2026/01/15 04:09:47","2026/01/15 04:01:20","2026/01/15 04:02:24","2026/01/15 04:02:29","0"
"2026/01/15 04:00","XRP","Down","0.4","2026/01/15 04:03:12","0.67","2026/01/15 04:01:33","2026/01/15 04:03:12","2026/01/15 04:09:59","2026/01/15 04:03:42","0"
"2026/01/15 04:15","BTC","Up","0.22","2026/01/15 04:18:01","0.5","2026/01/15 04:03:25","2026/01/15 04:15:47","2026/01/15 04:24:43","2026/01/15 04:24:52","0"
"2026/01/15 04:15","BTC","Down","0.51","2026/01/15 04:03:25","0.79","2026/01/15 04:18:01","","","","0"
"2026/01/15 04:15","ETH","Up","0.21","2026/01/15 04:19:00","0.5","2026/01/15 04:05:21","2026/01/15 04:15:16","2026/01/15 04:24:59","","0"
"2026/01/15 04:15","ETH","Down","0.51","2026/01/15 04:05:21","0.85","2026/01/15 04:24:23","","","","0"
"2026/01/15 04:15","XRP","Up","0.22","2026/01/15 04:18:01","0.51","2026/01/15 04:12:03","2026/01/15 04:15:21","2026/01/15 04:24:57","","0"
"2026/01/15 04:15","XRP","Down","0.5","2026/01/15 04:14:08","0.79","2026/01/15 04:18:01","","","","0"
"2026/01/15 04:15","SOL","Up","0.21","2026/01/15 04:19:02","0.52","2026/01/15 04:13:53","2026/01/15 04:16:31","2026/01/15 04:24:59","2026/01/15 04:20:04","0"
"2026/01/15 04:15","SOL","Down","0.51","2026/01/15 04:10:04","0.87","2026/01/15 04:24:23","","","","0"
"2026/01/15 04:30","ETH","Up","0.49","2026/01/15 04:21:24","0.99","2026/01/15 04:39:21","","","","0"
"2026/01/15 04:30","ETH","Down","0.12","2026/01/15 04:34:07","0.52","2026/01/15 04:20:44","2026/01/15 04:30:33","2026/01/15 04:39:59","2026/01/15 04:31:04","0"
"2026/01/15 04:30","SOL","Up","0.52","2026/01/15 04:21:43","0.99","2026/01/15 04:39:18","","","","0"
"2026/01/15 04:30","SOL","Down","0.11","2026/01/15 04:34:04","0.5","2026/01/15 04:30:04","2026/01/15 04:30:30","2026/01/15 04:39:59","","0"
"2026/01/15 04:30","XRP","Up","0.48","2026/01/15 04:30:04","0.97","2026/01/15 04:39:54","","","","0"
"2026/01/15 04:30","XRP","Down","0.14","2026/01/15 04:34:24","0.53","2026/01/15 04:30:04","2026/01/15 04:30:44","2026/01/15 04:39:59","2026/01/15 04:31:09","0"
"2026/01/15 04:45","BTC","Up","0.25","2026/01/15 04:49:49","0.53","2026/01/15 04:45:43","2026/01/15 04:46:16","2026/01/15 04:54:59","2026/01/15 04:47:41","0"
"2026/01/15 04:45","BTC","Down","0.49","2026/01/15 04:45:19","0.86","2026/01/15 04:52:06","","","","0"
"2026/01/15 04:45","XRP","Up","0.27","2026/01/15 04:49:46","0.52","2026/01/15 04:40:42","2026/01/15 04:46:03","2026/01/15 04:54:59","2026/01/15 04:47:44","0"
"2026/01/15 04:45","XRP","Down","0.49","2026/01/15 04:40:43","0.91","2026/01/15 04:52:27","","","","0"
"2026/01/15 04:45","SOL","Up","0.28","2026/01/15 04:49:59","0.61","2026/01/15 04:47:46","2026/01/15 04:45:32","2026/01/15 04:54:08","2026/01/15 04:45:53","0"
"2026/01/15 04:45","SOL","Down","0.42","2026/01/15 04:47:53","0.8","2026/01/15 04:52:06","","","","0"
"2026/01/15 04:45","ETH","Up","0.27","2026/01/15 04:49:55","0.55","2026/01/15 04:47:42","2026/01/15 04:46:03","2026/01/15 04:54:09","2026/01/15 04:47:36","0"
"2026/01/15 04:45","ETH","Down","0.46","2026/01/15 04:47:42","0.85","2026/01/15 04:52:24","","","","0"
"2026/01/15 05:00","BTC","Up","0.14","2026/01/15 05:02:57","0.49","2026/01/15 04:50:27","2026/01/15 05:00:02","2026/01/15 05:09:59","","0"
"2026/01/15 05:00","BTC","Down","0.52","2026/01/15 04:50:27","0.91","2026/01/15 05:09:59","","","","0"
"2026/01/15 05:00","ETH","Up","0.26","2026/01/15 05:03:01","0.49","2026/01/15 04:50:42","2026/01/15 05:00:11","2026/01/15 05:09:59","","0"
"2026/01/15 05:00","ETH","Down","0.52","2026/01/15 04:50:42","0.85","2026/01/15 05:09:33","","","","0"
"2026/01/15 05:00","XRP","Up","0.31","2026/01/15 05:01:07","0.53","2026/01/15 05:07:32","2026/01/15 05:00:50","2026/01/15 05:09:59","2026/01/15 05:02:29","0"
"2026/01/15 05:00","XRP","Down","0.49","2026/01/15 04:56:26","0.82","2026/01/15 05:09:33","","","","0"
"2026/01/15 05:00","SOL","Up","0.33","2026/01/15 05:02:14","0.51","2026/01/15 05:04:55","2026/01/15 05:01:01","2026/01/15 05:09:59","2026/01/15 05:01:04","0"
"2026/01/15 05:00","SOL","Down","0.51","2026/01/15 05:04:24","0.88","2026/01/15 05:08:38","","","","0"
"2026/01/15 05:15","BTC","Up","0.38","2026/01/15 05:16:02","0.86","2026/01/15 05:24:30","2026/01/15 05:16:02","2026/01/15 05:16:17","2026/01/15 05:16:40","0"
"2026/01/15 05:15","BTC","Down","0.29","2026/01/15 05:19:29","0.63","2026/01/15 05:16:02","2026/01/15 05:18:02","2026/01/15 05:24:59","2026/01/15 05:19:40","0"
"2026/01/15 05:15","ETH","Up","0.36","2026/01/15 05:16:50","0.9","2026/01/15 05:24:21","2026/01/15 05:16:48","2026/01/15 05:17:04","2026/01/15 05:17:04","0"
"2026/01/15 05:15","ETH","Down","0.28","2026/01/15 05:19:28","0.65","2026/01/15 05:16:48","2026/01/15 05:18:12","2026/01/15 05:24:59","","0"
"2026/01/15 05:15","XRP","Up","0.4","2026/01/15 05:16:21","0.94","2026/01/15 05:24:30","2026/01/15 05:16:21","2026/01/15 05:16:22","2026/01/15 05:17:33","0"
"2026/01/15 05:15","XRP","Down","0.4","2026/01/15 05:19:24","0.62","2026/01/15 05:16:24","2026/01/15 05:19:24","2026/01/15 05:24:59","","0"
"2026/01/15 05:15","SOL","Up","0.39","2026/01/15 05:16:10","0.74","2026/01/15 05:22:54","2026/01/15 05:16:10","2026/01/15 05:17:46","2026/01/15 05:16:32","0"
"2026/01/15 05:15","SOL","Down","0.41","2026/01/15 05:18:28","0.62","2026/01/15 05:16:10","2026/01/15 05:21:23","2026/01/15 05:24:50","","0"
"2026/01/15 05:30","ETH","Up","0.46","2026/01/15 05:30:17","0.93","2026/01/15 05:39:10","","","","0"
"2026/01/15 05:30","ETH","Down","0.2","2026/01/15 05:33:03","0.55","2026/01/15 05:30:16","2026/01/15 05:31:10","2026/01/15 05:39:59","","0"
"2026/01/15 05:30","BTC","Up","0.44","2026/01/15 05:30:05","0.94","2026/01/15 05:39:11","","","","0"
"2026/01/15 05:30","BTC","Down","0.24","2026/01/15 05:31:51","0.57","2026/01/15 05:30:05","2026/01/15 05:31:16","2026/01/15 05:39:59","","0"
"2026/01/15 05:30","XRP","Up","0.43","2026/01/15 05:30:23","0.78","2026/01/15 05:39:08","","","","0"
"2026/01/15 05:30","XRP","Down","0.25","2026/01/15 05:31:52","0.58","2026/01/15 05:30:23","2026/01/15 05:31:15","2026/01/15 05:39:59","2026/01/15 05:38:06","0"
"2026/01/15 05:30","SOL","Up","0.44","2026/01/15 05:30:07","0.92","2026/01/15 05:39:19","","","","0"
"2026/01/15 05:30","SOL","Down","0.24","2026/01/15 05:33:29","0.6","2026/01/15 05:30:05","2026/01/15 05:31:27","2026/01/15 05:39:59","","0"
"2026/01/15 05:45","BTC","Up","0.44","2026/01/15 05:45:09","0.87","2026/01/15 05:51:10","2026/01/15 05:54:49","2026/01/15 05:54:59","","0"
"2026/01/15 05:45","BTC","Down","0.34","2026/01/15 05:49:46","0.77","2026/01/15 05:54:58","2026/01/15 05:48:51","2026/01/15 05:54:40","2026/01/15 05:54:41","0"
"2026/01/15 05:45","ETH","Up","0.47","2026/01/15 05:44:42","0.86","2026/01/15 05:53:18","2026/01/15 05:54:45","2026/01/15 05:54:59","","0"
"2026/01/15 05:45","ETH","Down","0.41","2026/01/15 05:46:16","0.85","2026/01/15 05:54:55","2026/01/15 05:50:17","2026/01/15 05:54:40","2026/01/15 05:54:43","0"
"2026/01/15 05:45","XRP","Up","0.27","2026/01/15 05:49:30","0.55","2026/01/15 05:46:08","2026/01/15 05:45:13","2026/01/15 05:54:59","2026/01/15 05:45:21","0"
"2026/01/15 05:45","XRP","Down","0.46","2026/01/15 05:46:10","0.97","2026/01/15 05:54:58","","","","0"
"2026/01/15 05:45","SOL","Up","0.35","2026/01/15 05:49:58","0.63","2026/01/15 05:46:15","2026/01/15 05:49:26","2026/01/15 05:54:59","","0"
"2026/01/15 05:45","SOL","Down","0.39","2026/01/15 05:46:15","0.98","2026/01/15 05:54:51","2026/01/15 05:46:15","2026/01/15 05:46:42","2026/01/15 05:46:42","0"
"2026/01/15 06:00","BTC","Up","0.21","2026/01/15 06:04:54","0.57","2026/01/15 06:01:55","2026/01/15 06:00:52","2026/01/15 06:09:59","2026/01/15 06:01:23","0"
